time_s,x_m,y_m,z_m,dist_m
16.833,-0.948874,-1.545089,4.881695,659.955387
16.867,-0.923802,-1.455774,4.917691,660.054893
16.900,0.972167,1.605205,4.832515,663.656497
16.933,-0.970352,-1.455688,4.901929,667.282412
16.967,-0.921633,-1.497850,4.917361,667.348664
17.000,1.049120,1.556726,4.819036,670.985142
17.033,1.068905,1.480117,4.867393,671.077871
17.067,-1.053352,-1.544273,4.853475,674.772612
17.100,0.998027,1.495430,4.875283,678.439822
17.133,0.859193,1.502129,4.898243,678.580701
17.167,-0.977155,-1.471426,4.899515,682.075584
17.200,-1.034675,-1.488438,4.891000,682.136168
17.233,1.091074,1.534828,4.839012,685.832335
17.267,-0.942521,-1.488822,4.902168,689.476777
17.300,1.019885,1.576193,4.800585,693.117610
17.333,0.934717,1.506744,4.893827,693.261731
17.367,-1.003818,-1.492608,4.871681,696.833078
17.400,-0.957031,-1.445706,4.919857,696.914991
17.433,-0.904452,-1.499195,4.920180,696.989995
17.467,-0.939588,-1.417458,4.933157,697.079906
17.500,0.963999,1.466724,4.908097,700.535738
17.533,0.814586,1.629916,4.836550,700.768278
17.567,0.912375,1.539437,4.878012,700.907807
17.600,-0.898458,-1.474446,4.930873,704.424254
17.633,0.928620,1.436492,4.942561,707.861100
17.667,-0.938978,-1.390796,4.954699,711.249554
17.700,-0.853722,-1.388921,4.971749,711.336518
17.733,-0.899243,-1.394732,4.940041,711.392298
17.767,-0.797094,-1.442936,4.960916,711.507162
17.800,0.867605,1.481142,4.928865,714.872052
17.833,-0.813452,-1.415837,4.968541,718.221681
17.867,-0.786421,-1.454340,4.982478,718.270746
17.900,0.742947,1.476855,4.982779,721.576933
17.933,-0.849046,-1.433337,4.974288,724.894120
17.967,-0.815383,-1.375227,4.995426,724.964525
18.000,0.743931,1.477630,4.931285,728.216350
18.033,-0.750034,-1.393745,4.977373,731.453455
18.067,0.748779,1.424070,4.942187,734.645281
18.100,-0.818257,-1.339994,4.987485,737.822970
18.133,0.754390,1.456785,4.936367,741.031989
18.167,-0.862478,-1.340832,4.978560,744.263507
18.200,0.812161,1.322030,5.007838,747.409315
18.233,0.791962,1.443053,4.957394,747.541977
18.267,0.856461,1.403706,4.936357,747.620405
18.300,0.635365,1.424157,4.957295,747.843430
18.333,-0.746360,-1.295386,5.012149,750.894346
18.367,0.672352,1.409304,4.971051,753.948816
18.400,0.551879,1.461048,4.957415,754.080638
18.433,-0.716943,-1.305686,4.992300,757.124640
18.467,-0.730169,-1.381373,4.953746,757.210604
18.500,0.473565,1.335326,5.001258,760.182420
18.533,0.514181,1.336561,5.035909,760.235823
18.567,0.631326,1.266381,5.008263,760.375152
18.600,-0.747014,-1.343109,4.949200,763.326888
18.633,0.660694,1.328889,4.977395,766.347154
18.667,-0.148404,1.457090,5.016482,767.167278
18.700,-0.637036,-1.413064,4.968645,770.079122
18.733,-0.604577,-1.392850,4.933011,770.131390
18.767,-0.590087,-1.404188,4.935608,770.149971
18.800,-0.621711,-1.409933,4.931077,770.182431
18.833,-0.681457,-1.297315,4.958979,770.312933
18.867,-0.638954,-1.449711,4.885129,770.487532
18.900,-0.592967,-1.368968,4.942096,770.596525
18.933,-0.569500,-1.332831,4.964371,770.645031
18.967,-0.598330,-1.398039,4.955495,770.716878
19.000,0.506649,1.518318,4.856857,773.837110
19.033,-0.442870,-1.353024,4.954956,776.862968
19.067,0.516984,1.414339,4.896340,779.792653
19.100,-0.506025,-1.432166,4.895620,782.817408
19.133,0.395317,1.485707,4.888017,785.871333
19.167,0.431271,1.499983,4.870070,785.913978
19.200,0.539697,1.459953,4.868069,786.029576
19.233,-0.499189,-1.362998,4.908520,789.037893
19.267,0.095674,0.682687,5.242849,791.194387
19.300,0.335631,1.496076,4.855402,792.126747
19.333,0.386250,1.370297,4.875257,792.263776
19.367,-0.471078,-1.292261,4.905792,795.061124
19.400,0.392715,1.420476,4.812219,797.909603
19.433,0.366393,1.332064,4.866449,798.016610
19.467,0.327420,1.461479,4.775912,798.179288
19.500,-0.440076,-1.417407,4.787428,801.158744
19.533,0.346567,1.355109,4.793240,804.040702
19.567,-0.317760,-1.363450,4.793314,806.839255
19.600,-0.269759,-1.379387,4.774482,806.893224
19.633,-0.275654,-1.322799,4.797687,806.954668
19.667,0.141473,1.386674,4.744698,809.696574
19.700,0.233408,1.374111,4.717254,809.793337
19.733,0.184872,1.499814,4.626413,809.955846
19.767,-0.096430,-0.257761,5.004715,811.775547
19.800,-0.299104,-0.434984,4.958525,812.048710
19.833,0.099064,1.483386,4.544906,814.051149
19.867,-0.282515,-1.481111,4.503562,817.040388
19.900,-0.192838,-1.525303,4.452889,817.152472
19.933,0.070092,1.606963,4.382619,820.296540
19.967,0.167892,1.553259,4.382935,820.408116
20.000,-0.178967,-1.574372,4.358497,823.555016
20.033,0.054099,1.601819,4.323181,826.739943
20.067,0.110197,1.578792,4.318605,826.800756
20.100,-0.139596,-1.647939,4.250338,830.037861
20.133,0.162011,1.562359,4.296712,833.262629
20.167,0.119743,1.585096,4.269230,833.317935
20.200,-0.132113,-1.594872,4.242520,836.507973
20.233,-0.162943,-1.590311,4.253917,836.541156
20.267,0.232904,1.628924,4.234363,839.784696
20.300,0.246950,1.680382,4.200804,839.847716
20.333,0.272110,1.682165,4.204387,839.873192
20.367,0.279009,1.699212,4.204548,839.891583
20.400,0.255088,1.682263,4.196721,839.921927
20.433,0.405726,1.716866,4.155403,840.081915
20.467,0.351439,1.681573,4.155350,840.146666
20.500,0.355788,1.608651,4.201320,840.232978
20.533,0.424373,1.633795,4.157999,840.317906
20.567,0.442855,1.617761,4.163118,840.342904
20.600,-0.442773,-1.566818,4.202435,843.648569
20.633,0.498438,1.571781,4.151576,846.925651
20.667,0.469166,1.535120,4.196000,846.990260
20.700,-0.581669,-1.501057,4.205748,850.203159
20.733,-0.607039,-1.554976,4.136215,850.294733
20.767,-0.685059,-1.472118,4.175082,850.414996
20.800,0.591696,1.487178,4.181152,853.637971
20.833,0.545104,1.497953,4.183598,853.685855
20.867,-0.631534,-1.492220,4.163889,856.899264
20.900,0.634661,1.402538,4.198234,860.059019
20.933,-0.597483,-1.442877,4.190022,863.159767
20.967,0.586889,1.394748,4.200569,866.234660
21.000,0.640446,1.369976,4.160284,866.306109
21.033,0.635080,1.480111,4.118468,866.424037
21.067,-0.671201,-1.445406,4.119705,869.627944
21.100,-0.676655,-1.384150,4.146605,869.695069
21.133,-0.624372,-1.433055,4.140446,869.766924
21.167,-0.626082,-1.392701,4.181048,869.824195
21.200,0.709167,1.389825,4.144944,872.910721
21.233,0.675684,1.409637,4.119349,872.957291
21.267,0.611783,1.404169,4.154762,873.030553
21.300,-0.641603,-1.374913,4.149737,876.079209
21.333,1.108768,1.109969,4.198847,879.119085
21.367,0.278623,-1.200187,4.416046,881.583459
21.400,0.693999,1.365660,4.130699,884.198327
21.433,-0.662836,-1.370029,4.133707,887.252015
21.467,0.656812,1.350062,4.143245,890.275334
21.500,0.666810,1.344154,4.137515,890.288283
21.533,-0.668049,-1.384838,4.104180,893.326433
21.567,0.659361,1.351802,4.131975,896.368140
21.600,-0.695302,-0.076262,4.333081,898.346757
21.633,0.623535,1.362610,4.104154,900.311978
21.667,0.673473,1.364414,4.088131,900.364454
21.700,0.595557,1.368279,4.096261,900.442889
21.733,-0.627499,-1.305461,4.117760,903.383163
21.767,0.597896,1.319609,4.117951,906.280159
21.800,0.671422,1.336547,4.103543,906.356975
21.833,-0.631743,-1.304939,4.130992,909.302554
21.867,0.586468,1.268330,4.141903,912.149636
21.900,-0.572153,-1.309066,4.113963,914.975615
21.933,-0.621443,-1.264866,4.130803,915.043929
21.967,-0.615457,-1.326335,4.105003,915.110861
22.000,-0.690290,-1.343546,4.069156,915.195604
22.033,0.618584,1.310644,4.077853,918.154987
22.067,-0.685270,-1.254982,4.101363,921.033011
22.100,-0.737727,-0.121208,4.261571,922.179249
22.133,0.582644,1.247597,4.099841,924.087956
22.167,-0.655051,-1.272909,4.052608,926.896350
22.200,0.622224,1.279497,4.053170,929.750506
22.233,-0.625092,-1.281107,4.042227,932.598770
22.267,0.553069,1.253932,4.040539,935.394210
22.300,0.526617,1.201935,4.051193,935.453513
22.333,0.547738,1.211132,4.037619,935.480251
22.367,0.614089,1.217194,4.019944,935.549183
22.400,-0.584835,-1.204671,4.021986,938.251562
22.433,0.576708,1.205132,3.996055,940.926819
22.467,-0.557985,-1.198510,3.993631,943.584831
22.500,-0.658075,-1.203064,3.943332,943.696941
22.533,0.549204,1.298103,3.920469,946.474329
22.567,0.540724,1.255729,3.930927,946.518791
22.600,0.530987,1.221624,3.938583,946.555075
22.633,0.574452,1.128889,3.951683,946.658326
22.667,-0.592946,-1.174729,3.910036,949.241193
22.700,0.559826,1.221962,3.880603,951.900869
22.733,0.607629,1.237929,3.865259,951.953553
22.767,0.586494,1.262094,3.850409,951.988925
22.800,0.601687,1.315552,3.815325,952.054647
22.833,0.576770,1.298467,3.815121,952.084860
22.867,0.704809,1.258782,3.792657,952.220778
22.900,0.702661,1.297207,3.766196,952.267482
22.933,0.752934,1.285370,3.748079,952.322215
22.967,0.724026,1.285500,3.737663,952.352942
23.000,-0.684409,-1.304189,3.709477,955.300987
23.033,-0.712037,-1.299456,3.692436,955.333792
23.067,0.712390,1.306683,3.678863,958.303832
23.100,-0.755951,-1.286546,3.657552,961.283985
23.133,-0.857353,-1.264283,3.637210,961.389777
23.167,-0.780252,-1.241574,3.657641,961.472708
23.200,0.795444,1.268338,3.632556,964.436339
23.233,0.800610,1.301103,3.602442,964.481139
23.267,-0.802465,-1.246068,3.625675,967.490869
23.300,-0.840035,-1.273320,3.582624,967.554174
23.333,-0.860817,-1.248552,3.586606,967.586750
23.367,-0.848881,-1.237931,3.587990,967.602787
23.400,-0.841549,-1.275536,3.552650,967.654911
23.433,-0.852722,-1.246400,3.555284,967.686226
23.467,-0.037708,-0.521554,3.888734,968.826769
23.500,0.797696,1.242831,3.578138,970.803490
23.533,0.847441,1.270355,3.534201,970.875341
23.567,0.851426,1.269719,3.516490,970.893506
23.600,-0.888106,-1.234273,3.524795,973.942444
23.633,0.864285,1.255258,3.514813,976.986904
23.667,-0.846613,-1.263951,3.515662,980.032160
23.700,-0.869552,-1.249777,3.511379,980.059463
23.733,-0.913851,-1.247327,3.500758,980.105083
23.767,0.381226,0.557028,3.856764,982.354452
23.800,0.887094,1.240332,3.502366,983.275540
23.833,0.870626,1.237379,3.498029,983.292823
23.867,-0.908967,-1.206556,3.492477,986.316034
23.900,-0.836681,-1.211158,3.509368,986.390411
23.933,-0.890921,-1.240017,3.474972,986.460823
23.967,-0.859464,-1.250590,3.470367,986.494328
24.000,-0.851521,-1.196251,3.489016,986.552324
24.033,0.846154,1.211086,3.481408,989.498072
24.067,0.853252,1.175343,3.479966,989.534541
24.100,0.861146,1.173823,3.469639,989.547628
24.133,-0.842259,-1.169225,3.476263,992.444438
24.167,0.854314,1.172496,3.469576,995.336161
24.200,0.851581,1.160575,3.460841,995.351191
24.233,0.846510,1.210831,3.423483,995.414016
24.267,0.837227,1.169962,3.445815,995.461504
24.300,-0.829053,-1.192719,3.433225,998.352681
24.333,-0.843747,-1.113887,3.462705,998.438118
24.367,0.795965,1.143951,3.454539,1001.228558
24.400,0.810767,1.177613,3.419759,1001.279173
24.433,-0.830141,-1.139172,3.430567,1004.118220
24.467,0.787338,1.179821,3.422673,1006.945591
24.500,-0.842913,-1.138233,3.408673,1009.779544
24.533,-0.853712,-1.146652,3.404224,1009.793941
24.567,0.859309,1.155845,3.394303,1012.663790
24.600,-0.826926,-1.127457,3.424643,1015.502412
24.633,-0.855706,-1.117879,3.408679,1015.536689
24.667,-0.848920,-1.122140,3.414434,1015.546553
24.700,0.819360,1.131054,3.405531,1018.350144
24.733,0.838580,1.128214,3.408031,1018.369734
24.767,-0.811973,-1.106746,3.419605,1021.148134
24.800,-0.836434,-1.087951,3.412707,1021.179743
24.833,-0.808384,-1.106682,3.414297,1021.213510
24.867,0.803524,1.086678,3.413544,1023.935472
24.900,-0.841450,-1.092031,3.386484,1026.665571
24.933,0.823173,1.129487,3.373097,1029.441592
24.967,0.844895,1.104694,3.371330,1029.474601
25.000,0.857943,1.089851,3.348821,1029.504555
25.033,-0.793508,-1.128815,3.353282,1032.270381
25.067,-0.828291,-1.090949,3.345970,1032.322315
25.100,0.381242,0.518279,3.629370,1034.355268
25.133,-0.828612,-1.120293,3.307735,1036.417333
25.167,-0.859308,-1.081537,3.301191,1036.467204
25.200,-0.852107,-1.084806,3.284503,1036.485671
25.233,-0.849068,-1.090969,3.271236,1036.500611
